City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
petropavlovsk-kamchatskiy,46.7162,-122.9543,22.94,70.0,1.0,0.0,US,1631121147.0
mantua,38.7992,-9.4469,24.55,75.0,75.0,4.63,PT,1631121165.0
evensk,48.6499,-53.1147,17.24,70.0,27.0,5.04,CA,1631121165.0
vao,66.6871,34.3429,7.25,92.0,100.0,3.33,RU,1631121165.0
yellowknife,10.7333,77.5167,24.91,65.0,65.0,8.91,IN,1631121166.0
castro,14.3188,2.0866,35.25,31.0,83.0,4.54,NE,1631121166.0
leningradskiy,43.6125,122.2653,11.66,71.0,0.0,2.65,CN,1631121166.0
vitimskiy,63.7506,-68.5145,8.03,61.0,81.0,4.93,CA,1631121166.0
trinidad,29.0331,21.5482,31.27,26.0,0.0,4.73,LY,1631121167.0
moose factory,47.674,-122.1215,24.1,62.0,46.0,3.58,US,1631121032.0
aquidauana,-24.8667,113.6333,13.04,100.0,0.0,3.09,AU,1631121069.0
turkistan,45.2333,147.8833,12.32,89.0,97.0,4.27,RU,1631121167.0
hobyo,-20.3167,118.5667,16.03,51.0,46.0,3.6,AU,1631121168.0
wau,-16.4833,-151.75,26.11,77.0,16.0,7.69,PF,1631121168.0
chibuto,7.1333,40.7,17.1,76.0,72.0,3.57,ET,1631121168.0
samarai,34.7334,-86.5667,30.29,62.0,20.0,0.45,US,1631121168.0
centralia,47.0056,28.8575,17.24,58.0,0.0,1.03,MD,1631120900.0
colares,-2.0226,147.2712,26.8,77.0,27.0,3.12,PG,1631121169.0
bonavista,13.2154,18.3353,28.52,61.0,86.0,2.95,TD,1631121169.0
umba,35.3029,37.1841,26.79,53.0,0.0,5.79,SY,1631121169.0
bolungarvik,64.1835,-51.7216,7.34,93.0,75.0,5.66,GL,1631121035.0
tsihombe,50.6996,-127.4199,13.9,94.0,100.0,1.8,CA,1631120595.0
tumannyy,33.5928,-7.6192,27.12,69.0,0.0,4.78,MA,1631121170.0
dharapuram,-34.7333,135.8667,15.22,40.0,35.0,6.98,AU,1631121170.0
ouallam,10.6333,-4.7667,30.77,62.0,77.0,2.34,BF,1631121170.0
tongliao,-37.7167,-72.2333,15.92,40.0,0.0,2.5,CL,1631121171.0
iqaluit,43.5945,-83.8889,23.27,58.0,20.0,7.72,US,1631121085.0
jalu,57.79,-152.4072,9.93,91.0,100.0,1.45,US,1631121171.0
redmond,13.9835,10.2704,31.12,40.0,3.0,3.12,NE,1631121171.0
carnarvon,42.2683,118.9636,14.56,75.0,23.0,0.77,CN,1631121172.0
temaraia,-35.1667,173.1667,12.22,74.0,91.0,7.14,NZ,1631121172.0
kurilsk,43.3,-86.1334,24.24,54.0,20.0,6.69,US,1631121017.0
port hedland,50.2334,-63.5986,15.06,81.0,63.0,2.44,CA,1631121172.0
faanui,47.6666,-52.7314,22.09,70.0,9.0,7.6,CA,1631121173.0
ginir,54.7021,78.661,8.13,88.0,100.0,8.15,RU,1631121173.0
madison,-4.7561,11.8578,25.03,80.0,5.0,5.7,CG,1631121173.0
chisinau,14.8961,-24.4956,25.79,77.0,69.0,3.11,CV,1631121174.0
lorengau,25.3378,110.026,24.4,89.0,7.0,0.91,CN,1631121174.0
ati,-9.6567,120.2641,24.86,79.0,81.0,6.0,ID,1631121174.0
abu samrah,68.0546,166.4372,-3.22,91.0,99.0,3.17,RU,1631121175.0
nuuk,62.2266,-6.589,10.51,86.0,100.0,5.3,FO,1631121175.0
port hardy,-21.6403,-41.0511,22.51,73.0,94.0,8.43,BR,1631121175.0
casablanca,-0.9131,122.8766,23.86,82.0,100.0,3.52,ID,1631121175.0
port lincoln,-2.7619,-42.2744,29.99,62.0,24.0,7.83,BR,1631121074.0
banfora,41.6096,-4.7969,24.23,52.0,40.0,5.66,ES,1631121176.0
mulchen,-38.2667,141.9667,12.51,58.0,99.0,8.23,AU,1631121236.0
bay city,60.1432,-45.2371,8.88,85.0,100.0,1.28,GL,1631121237.0
kodiak,69.7008,170.3133,-0.39,83.0,100.0,4.13,RU,1631121237.0
goure,5.8933,95.3214,27.66,73.0,100.0,10.54,ID,1631121237.0
chifeng,-33.7333,-70.75,15.02,28.0,0.0,1.46,CL,1631121238.0
ahipara,70.3705,31.1107,5.99,70.0,75.0,5.14,NO,1631121238.0
paradwip,37.7167,-25.4333,23.23,68.0,93.0,2.46,PT,1631121238.0
muskegon,66.1451,-65.7125,5.74,48.0,5.0,3.25,CA,1631121080.0
havre-saint-pierre,0.3365,6.7273,25.64,81.0,55.0,3.37,ST,1631121239.0
torbay,17.4924,44.1277,29.19,11.0,67.0,2.3,SA,1631121239.0
zdvinsk,45.3055,-93.7941,22.42,58.0,75.0,5.66,US,1631121104.0
loandjili,65.282,-126.8329,11.96,70.0,6.0,2.66,CA,1631121239.0
sao filipe,36.5154,-4.8858,32.68,37.0,3.0,5.19,ES,1631121239.0
tabiauea,26.326,43.975,34.61,11.0,1.0,5.33,SA,1631120964.0
sunamganj,22.0752,-159.319,26.18,77.0,75.0,4.63,US,1631121240.0
baoning,63.8424,-22.4338,10.26,81.0,75.0,7.72,IS,1631121218.0
waingapu,-20.2078,57.7625,21.16,66.0,44.0,5.57,MU,1631121240.0
bilibino,23.2167,-106.4167,27.98,83.0,90.0,0.0,MX,1631121221.0
klaksvik,-34.7,-71.05,15.21,52.0,0.0,3.36,CL,1631121241.0
warqla,62.8833,152.4333,-0.66,84.0,87.0,3.24,RU,1631121241.0
sao joao da barra,39.9237,44.045,22.96,54.0,10.0,2.32,TR,1631121241.0
biak,37.4966,61.9714,27.93,26.0,0.0,5.14,TM,1631121241.0
tutoia,67.6333,134.6333,-2.0,81.0,0.0,1.45,RU,1631121242.0
arroyo,-21.3585,55.7679,20.75,78.0,55.0,6.08,RE,1631121242.0
codrington,-20.0064,57.6608,21.32,74.0,10.0,2.68,MU,1631121242.0
nanortalik,69.3,139.9,-4.09,88.0,40.0,1.58,RU,1631121243.0
pevek,-2.1167,-79.6833,29.28,44.0,82.0,1.37,EC,1631121243.0
sabang,36.8648,70.8342,19.02,27.0,0.0,1.06,AF,1631121243.0
buin,73.5069,80.5464,5.99,88.0,100.0,4.07,RU,1631121244.0
vardo,9.5667,37.1,11.66,92.0,91.0,0.89,ET,1631121244.0
vila franca do campo,-26.7852,-60.4388,23.2,30.0,54.0,7.43,AR,1631121244.0
pangnirtung,58.6031,125.3894,8.79,83.0,100.0,1.36,RU,1631121244.0
sao tome,-34.5322,20.0403,11.82,84.0,78.0,1.32,ZA,1631121245.0
najran,69.6496,18.957,8.36,87.0,75.0,2.06,NO,1631121189.0
monticello,-17.7125,-39.2481,25.22,71.0,80.0,3.46,BR,1631121245.0
norman wells,-4.2761,-55.9836,39.19,29.0,81.0,1.41,BR,1631121245.0
marbella,9.4092,45.064,26.99,46.0,73.0,8.88,SO,1631121246.0
buraydah,-35.3333,-72.4167,14.64,52.0,0.0,5.95,CL,1631121246.0
kapaa,42.0376,43.8238,14.61,87.0,67.0,3.34,GE,1631121246.0
grindavik,-28.5708,-70.7581,23.71,17.0,0.0,2.51,CL,1631121247.0
quatre cocos,-28.783,32.0377,16.66,85.0,7.0,3.38,ZA,1631121247.0
mazatlan,68.2191,-135.0107,10.44,67.0,66.0,3.46,CA,1631121247.0
chimbarongo,42.7762,-9.0603,24.53,86.0,13.0,3.77,ES,1631121247.0
seymchan,-15.1961,12.1522,19.35,87.0,54.0,3.43,AO,1631121248.0
lolua,-45.8667,-67.5,17.92,36.0,0.0,6.69,AR,1631121248.0
igdir,-15.7167,46.3167,24.01,78.0,20.0,2.06,MG,1631121249.0
murgab,71.9167,114.0833,5.41,50.0,100.0,4.9,RU,1631121249.0
batagay,58.6147,5.6457,19.82,90.0,19.0,1.98,NO,1631121249.0
saint-philippe,-6.2167,155.6333,25.25,83.0,96.0,3.66,PG,1631121249.0
grand gaube,54.2111,72.9651,8.88,73.0,70.0,6.14,RU,1631121310.0
deputatskiy,54.2139,49.6184,12.07,78.0,97.0,4.56,RU,1631121310.0
yaguachi,44.8546,38.3031,20.5,54.0,0.0,3.22,RU,1631121310.0
jurm,46.0667,23.7333,20.9,43.0,6.0,1.46,RO,1631121311.0
dikson,9.4942,50.8122,25.44,81.0,99.0,14.52,SO,1631121312.0
shambu,49.8834,-106.5512,21.15,30.0,97.0,1.95,CA,1631121312.0
presidencia roque saenz pena,64.75,177.4833,7.02,90.0,100.0,7.93,RU,1631121312.0
aldan,78.2186,15.6401,2.91,75.0,75.0,4.63,SJ,1631121313.0
solovetskiy,18.65,-99.2,28.14,67.0,73.0,0.71,MX,1631121313.0
bredasdorp,37.2153,-93.2982,27.51,38.0,1.0,3.58,US,1631121311.0
tromso,34.6391,-120.4579,21.08,90.0,1.0,0.0,US,1631121197.0
caravelas,-37.8333,140.7667,13.5,55.0,87.0,5.69,AU,1631121314.0
itaituba,64.8378,-147.7164,7.95,85.0,90.0,2.06,US,1631121108.0
odweyne,39.1834,-84.5333,27.43,65.0,40.0,1.54,US,1631121196.0
constitucion,2.8197,-60.6733,33.99,43.0,40.0,3.09,BR,1631121049.0
agara,51.3223,42.7678,11.63,54.0,58.0,3.91,RU,1631121314.0
vallenar,-28.7667,114.6,14.23,94.0,75.0,4.12,AU,1631121314.0
richards bay,-43.3002,-65.1023,15.49,52.0,5.0,8.21,AR,1631121315.0
aklavik,31.7471,54.2088,27.97,15.0,0.0,3.09,IR,1631121315.0
muros,45.5234,-122.6762,25.21,58.0,1.0,0.45,US,1631121017.0
namibe,71.6872,128.8694,1.72,78.0,16.0,4.44,RU,1631121316.0
comodoro rivadavia,67.8006,130.4114,-1.38,73.0,10.0,0.98,RU,1631121316.0
mahajanga,40.4272,71.7189,25.4,33.0,0.0,3.09,UZ,1631121317.0
saskylakh,-5.6667,132.75,26.84,79.0,80.0,11.1,ID,1631121317.0
varhaug,-18.2494,-43.6003,29.74,25.0,4.0,2.73,BR,1631121317.0
kieta,41.9563,42.9566,15.76,89.0,89.0,1.5,GE,1631121318.0
odesskoye,21.3167,103.9,19.89,98.0,78.0,1.08,VN,1631121318.0
dimitrovgrad,55.7435,-97.8558,18.09,68.0,40.0,4.63,CA,1631121319.0
akhtyrskiy,69.4865,88.3972,9.31,79.0,97.0,3.21,RU,1631121319.0
berghin,38.8451,-76.875,30.48,68.0,1.0,5.14,US,1631120548.0
bandarbeyla,-28.8667,153.5667,10.99,87.0,13.0,2.17,AU,1631121319.0
gravelbourg,-2.9248,-39.9167,29.95,60.0,50.0,7.88,BR,1631121319.0
anadyr,35.7333,140.8333,20.22,81.0,98.0,5.71,JP,1631121320.0
longyearbyen,-21.2078,-159.775,23.03,88.0,40.0,6.17,CK,1631121324.0
zacatepec,69.2167,-51.1,4.01,60.0,75.0,4.63,GL,1631121324.0
springfield,-38.0023,-57.5575,12.01,94.0,90.0,9.77,AR,1631121320.0
grand centre,32.944,-103.3485,28.35,55.0,4.0,0.89,US,1631121325.0
lompoc,68.0531,39.5131,4.46,84.0,98.0,4.22,RU,1631121325.0
mount gambier,12.0564,-61.7485,28.93,75.0,93.0,6.35,GD,1631121072.0
fairbanks,-22.116,14.2845,14.92,83.0,3.0,1.74,NA,1631121325.0
hamilton,-8.145,159.5921,26.02,84.0,100.0,3.92,SB,1631121326.0
boa vista,-3.7928,-39.2703,26.49,26.0,45.0,4.6,BR,1631121326.0
kamenka,36.6177,-121.9166,27.93,80.0,1.0,1.79,US,1631121322.0
geraldton,8.1222,-63.5497,32.94,47.0,100.0,3.43,VE,1631121327.0
rawson,33.0833,-16.3333,23.68,69.0,20.0,4.63,PT,1631121327.0
taft,18.8003,110.3967,26.74,84.0,28.0,1.71,CN,1631121327.0
alotau,22.9614,-82.1511,30.51,60.0,7.0,2.89,CU,1631121328.0
portland,63.4427,-20.2734,11.55,76.0,0.0,5.66,IS,1631121328.0
tiksi,41.5875,-109.2029,22.35,32.0,1.0,0.45,US,1631121328.0
batagay-alyta,53.9833,123.9167,9.33,96.0,84.0,1.77,RU,1631121389.0
komsomolskiy,-28.65,153.6167,12.71,82.0,22.0,1.35,AU,1631121389.0
tual,-34.0033,24.7314,13.27,79.0,20.0,2.95,ZA,1631121389.0
diamantina,-23.35,47.6,20.07,86.0,1.0,3.49,MG,1631121390.0
khani,66.3167,-179.1667,0.17,85.0,100.0,5.92,RU,1631121390.0
son la,60.9167,-46.05,11.12,61.0,88.0,2.2,GL,1631121390.0
thompson,13.6017,26.6876,28.85,47.0,70.0,8.57,SD,1631121390.0
talnakh,-20.5167,57.5167,21.31,73.0,75.0,4.12,MU,1631121314.0
forestville,46.9167,-0.5,25.17,54.0,67.0,6.64,FR,1631121391.0
ballina,-24.7859,-65.4117,11.43,60.0,99.0,1.79,AR,1631121196.0
itarema,32.3858,111.6678,22.72,83.0,100.0,0.96,CN,1631121391.0
hasaki,48.5126,-122.6127,22.37,78.0,75.0,2.68,US,1631121217.0
avarua,46.251,32.2927,18.24,47.0,0.0,1.56,UA,1631121391.0
ilulissat,61.994,-49.6678,5.98,93.0,65.0,2.26,GL,1631121392.0
mar del plata,25.5198,90.2201,23.09,95.0,87.0,1.53,IN,1631121392.0
lovington,12.0697,121.3986,27.67,78.0,94.0,5.93,PH,1631121392.0
ostrovnoy,3.7833,72.9667,28.19,66.0,100.0,2.06,MV,1631121393.0
saint-georges,-8.7676,160.7034,24.22,90.0,94.0,2.55,SB,1631121393.0
henties bay,5.1367,-5.0242,26.44,80.0,88.0,3.87,CI,1631121393.0
buala,26.5881,127.9761,28.47,78.0,13.0,2.26,JP,1631121393.0
pentecoste,35.174,-2.9287,28.04,53.0,0.0,9.77,MA,1631121394.0
pacific grove,34.2257,-77.9447,32.21,70.0,20.0,4.12,US,1631121394.0
ciudad bolivar,57.0669,93.4378,10.25,76.0,68.0,3.45,RU,1631121395.0
camacha,26.9333,-105.4,25.68,37.0,92.0,5.14,MX,1631121395.0
wanning,46.715,11.656,24.03,83.0,75.0,1.53,IT,1631121395.0
san jose de las lajas,6.2679,21.2247,22.27,89.0,19.0,1.26,CF,1631121395.0
xitla,-31.393,-58.0209,17.04,82.0,90.0,12.35,AR,1631121396.0
vestmannaeyjar,15.8667,-93.5333,30.96,67.0,84.0,2.25,MX,1631121396.0
taolanaro,70.4692,-68.5914,1.13,80.0,75.0,15.43,CA,1631121396.0
rock springs,-13.8833,167.55,25.49,76.0,74.0,11.18,VU,1631121397.0
skovorodino,64.3833,-173.3,4.47,89.0,100.0,5.25,RU,1631121397.0
byron bay,21.3469,-158.0858,25.18,75.0,1.0,3.09,US,1631121397.0
mys shmidta,-5.4,-80.75,26.18,47.0,70.0,3.53,PE,1631121397.0
kruisfontein,21.4612,-71.1419,28.22,70.0,4.0,3.44,TC,1631121398.0
vangaindrano,59.2353,163.0719,1.9,72.0,17.0,3.78,RU,1631121398.0
egvekinot,50.6132,40.3549,13.97,46.0,97.0,2.81,RU,1631121398.0
narsaq,58.5052,13.1577,19.39,74.0,3.0,4.51,SE,1631121399.0
umm kaddadah,21.2667,-97.45,28.96,65.0,81.0,1.76,MX,1631121399.0
souillac,65.9667,29.1833,10.02,81.0,40.0,2.57,FI,1631121399.0
bressuire,51.7435,111.9606,4.99,95.0,100.0,4.4,RU,1631121399.0
salta,43.801,87.6005,24.53,24.0,0.0,3.0,CN,1631121400.0
laohekou,-46.1333,167.6833,7.68,94.0,100.0,4.46,NZ,1631121400.0
anacortes,70.9963,24.6622,6.13,94.0,100.0,1.46,NO,1631121400.0
bekhtery,5.3833,-52.95,29.82,66.0,69.0,4.39,GF,1631121401.0
paamiut,18.3851,42.4509,26.06,24.0,79.0,4.98,SA,1631121401.0
tura,-16.0999,167.4164,22.9,79.0,67.0,6.61,VU,1631121401.0
semirara,0.1333,117.5,24.46,90.0,100.0,3.7,ID,1631121401.0
mahibadhoo,41.3003,13.0282,24.95,52.0,95.0,4.39,IT,1631121402.0
mixtepec,45.7625,106.2708,5.42,81.0,49.0,3.47,MN,1631121402.0
auki,67.45,153.6833,0.01,96.0,100.0,7.54,RU,1631121466.0
grand-lahou,64.5667,143.2,0.16,78.0,11.0,2.28,RU,1631121467.0
nago,25.0213,37.2685,31.85,58.0,6.0,3.62,SA,1631121467.0
himora,7.7669,-72.225,26.1,47.0,22.0,3.65,VE,1631121467.0
nador,-7.1,31.2333,26.75,36.0,53.0,1.48,TZ,1631121467.0
wilmington,68.75,161.3,-2.25,87.0,31.0,3.3,RU,1631121468.0
ituni,-19.0595,-169.9187,22.94,100.0,4.0,1.54,NU,1631121468.0
predivinsk,-19.55,169.2667,20.51,66.0,98.0,7.08,VU,1631121468.0
valle de allende,-23.65,-70.4,19.01,58.0,2.0,5.63,CL,1631121189.0
bressanone,28.3667,129.4833,25.91,84.0,71.0,2.55,JP,1631121469.0
ippy,18.4726,120.5763,27.6,81.0,70.0,7.23,PH,1631121469.0
barentsburg,-33.5907,22.2014,13.2,68.0,3.0,3.11,ZA,1631121469.0
concordia,10.6678,-63.2585,30.5,65.0,98.0,5.15,VE,1631121470.0
tres picos,30.4833,-115.95,23.75,74.0,10.0,4.39,MX,1631121470.0
clyde river,14.5333,20.9167,32.28,44.0,45.0,3.02,TD,1631121470.0
sola,60.3511,47.0842,10.59,97.0,100.0,4.66,RU,1631121471.0
provideniya,51.6667,135.7,12.28,89.0,66.0,1.65,RU,1631121471.0
makakilo city,11.0297,20.2827,24.64,85.0,87.0,1.95,TD,1631121471.0
la union,20.8947,-156.47,25.41,71.0,20.0,5.14,US,1631121471.0
cockburn town,-16.7833,-151.5,26.18,75.0,11.0,8.01,PF,1631121472.0
ossora,46.5927,-112.0361,28.85,39.0,1.0,0.0,US,1631121312.0
vorontsovka,29.9833,-109.7833,29.47,47.0,8.0,1.31,MX,1631121472.0
lidkoping,28.017,-97.5169,33.23,35.0,86.0,4.29,US,1631121472.0
tamiahua,33.194,-82.5271,31.62,65.0,100.0,4.3,US,1631121473.0
kuusamo,7.6994,18.629,23.38,91.0,46.0,1.06,CF,1631121473.0
mogzon,31.3525,27.2453,25.84,79.0,13.0,6.18,EG,1631121473.0
urumqi,-30.1811,-50.2056,17.62,98.0,100.0,4.82,BR,1631121474.0
tuatapere,-0.6,73.0833,28.49,69.0,81.0,2.07,MV,1631121474.0
havoysund,-31.95,141.4333,14.25,43.0,1.0,3.87,AU,1631121474.0
sentyabrskiy,35.1333,140.3,20.06,85.0,90.0,5.74,JP,1631121475.0
sinnamary,-20.2333,164.0167,20.51,64.0,100.0,6.09,NC,1631121475.0
faya,66.5606,67.7975,4.37,82.0,68.0,3.21,RU,1631121475.0
lakatoro,46.6682,11.1595,25.8,80.0,81.0,1.48,IT,1631121475.0
bontang,59.6011,49.4232,9.37,95.0,97.0,4.01,RU,1631121476.0
sabaudia,-3.3963,37.6736,23.77,60.0,92.0,4.4,KE,1631121476.0
mandalgovi,-5.1989,-35.4608,30.5,60.0,69.0,8.05,BR,1631121476.0
srednekolymsk,-8.2686,-72.7439,35.83,33.0,7.0,2.09,BR,1631121477.0
ust-nera,13.0667,-59.5333,31.05,70.0,20.0,7.72,BB,1631121477.0
umm lajj,-20.55,46.8,16.33,55.0,47.0,2.02,MG,1631121477.0
san cristobal,40.2069,141.3017,16.31,97.0,76.0,2.42,JP,1631121477.0
